"","subplot","year","block","cropping","plot","organic","till","treatment","grain","straw","Nupt_tot","TKW","crop_density","sos","SD","pop","DD","eos","greenup","stable","browndown","slope.greenup","slope.browndown"
"1","02D",2018,"A","O-RT","02","organic","no till","drought",2.6,2.2,88,259.4,196,191,-21803.81485,146,172.4627715,173,-21994.81485,21976.2776215,0.537228499999998,-65.0055566307465,-15.0488728419214
"2","08D",2018,"A","C-IT","08","conventional","tillage","drought",2.9,2.4,91,240.3,185,191,-10442.20226,145,168.6882104,169,-10633.20226,10610.8904704,0.311789599999997,0,-2.65871543913332
"3","08R",2018,"A","C-IT","08","conventional","tillage","control",3.6,2.5,132,275.92,136,146,154.8319105,157,169.5302478,175,8.83191049999999,14.6983373,5.46975219999999,3.3614281193689,-23.0769718224914
"4","12D",2018,"A","C-NT","12","conventional","no till","drought",3.3,3,121,244.82,206,191,-2466.052841,146,146,171,-2657.052841,2612.052841,25,-26.6727267529516,-11.2832825711377
"5","12R",2018,"A","C-NT","12","conventional","no till","control",3.3,2.4,128,298.58,134,156,166.2348413,168,173.1331378,177,10.2348413,6.89829649999999,3.86686220000001,41.0841455947266,-39.3120042011516
"6","13D",2018,"A","O-IT","13","organic","tillage","drought",2.6,2.6,97,241.56,146,191,-5156.08512,145,167.0363846,169,-5347.08512,5323.1215046,1.96361540000001,0,-43.2758658250779
"7","13R",2018,"A","O-IT","13","organic","tillage","control",2.8,2.3,90,272.48,246,147,153.738707,157,165.5611915,173,6.73870700000001,11.8224845,7.43880849999999,7.87238033768255,-69.1794494189272
"8","19D",2018,"B","C-NT","19","conventional","no till","drought",3.2,2.1,127,274.72,110,191,-73.57837519,145,171.4730612,175,-264.57837519,245.05143639,3.52693880000001,-28.6759800498199,-9.35667869923187
"9","19R",2018,"B","C-NT","19","conventional","no till","control",4.4,2.5,174,310.24,106,153,159.4242382,162,167.3141112,174,6.42423819999999,7.88987300000002,6.68588879999999,29.7783935616451,-4.78780948095995
"10","24D",2018,"B","O-IT","24","organic","tillage","drought",3.8,3.3,119,253.08,166,191,-8164.405974,145,168.9021493,171,-8355.405974,8333.3081233,2.09785070000001,0,-45.6859791774825
"11","24R",2018,"B","O-IT","24","organic","tillage","control",4.2,3.5,142,266.3,320,147,146,146,168.7502879,175,-1,22.7502879,6.24971210000001,18.289768911729,-32.6691839304266
"12","25D",2018,"B","O-RT","25","organic","no till","drought",2,1.7,70,257.6,NA,191,-2993.183356,146,170.1239664,172,-3184.183356,3163.3073224,1.8760336,-36.3478322650166,-11.2966846360493
"13","25R",2018,"B","O-RT","25","organic","no till","control",3.8,2.6,146,292.12,145,146,145,145,172.7156401,177,-1,27.7156401,4.2843599,2.50226132027732,-27.7532878055628
"14","32D",2018,"B","C-IT","32","conventional","tillage","drought",4.3,3.3,152,267.3,254,189,-974.7604724,146,170.2755607,175,-1163.7604724,1145.0360331,4.7244393,0,-21.188524714476
"15","32R",2018,"B","C-IT","32","conventional","tillage","control",5.6,3.9,214,287.66,217,191,-3.23082595,146,172.3995447,177,-194.23082595,175.63037065,4.60045529999999,-34.1046963448534,-10.5188650406775
"16","36D",2018,"C","O-IT","36","organic","tillage","drought",3.7,2.9,117,255.1,298,191,-10246.38448,146,172.8045875,175,-10437.38448,10419.1890675,2.1954125,30.6451335392086,-40.7907071429428
"17","36R",2018,"C","O-IT","36","organic","tillage","control",4.2,3,170,281.74,152,191,-98.75706763,145,174.5609951,178,-289.75706763,273.31806273,3.43900489999999,2.68087481203499,-27.313363388885
"18","39D",2018,"C","C-NT","39","conventional","no till","drought",1.8,1.6,71,269.74,168,146,145,145,169.5203523,173,-1,24.5203523,3.47964769999999,-62.8275720914401,-8.43079217269322
"19","39R",2018,"C","C-NT","39","conventional","no till","control",3.3,2.1,143,294.28,98,146,146.0791112,152,173.2154308,180,0.0791111999999998,27.1363196,6.78456919999999,8.46312779216287,-15.6008971410045
"20","42D",2018,"C","C-IT","42","conventional","tillage","drought",3.2,2.8,111,256.2,254,191,-2659.667553,145,169.3206133,173,-2850.667553,2828.9881663,3.67938670000001,21.3163377769043,-42.5854196449971
"21","42R",2018,"C","C-IT","42","conventional","tillage","control",3.1,2.3,121,261.84,96,191,-1024.91538,146,172.911423,176,-1215.91538,1197.826803,3.08857699999999,0,-44.4233052260617
"22","45D",2018,"C","O-RT","45","organic","no till","drought",2.8,2.1,97,255.92,163,191,-143.0543328,146,170.5624066,174,-334.0543328,313.6167394,3.4375934,-76.6944041096701,-16.09224494415
"23","45R",2018,"C","O-RT","45","organic","no till","control",3,2.4,117,266,122,191,-70.79422046,146,174.4495521,178,-261.79422046,245.24377256,3.55044789999999,14.0442826409475,-25.768316634919
"24","50D",2018,"D","C-IT","50","conventional","tillage","drought",3.3,2.9,99,240.14,NA,191,-897.4753023,145,169.4210778,173,-1088.4753023,1066.8963801,3.57892219999999,-0.665930798390002,-46.7381091872067
"25","50R",2018,"D","C-IT","50","conventional","tillage","control",5.1,3.6,191,268.88,156,146,145,145,173.9178379,178,-1,28.9178379,4.08216210000001,19.1925966124778,-8.17308841127859
"26","55D",2018,"D","O-RT","55","organic","no till","drought",2.7,2.3,101,254.9,121,191,-10242.36664,146,170.1920864,172,-10433.36664,10412.5587264,1.80791360000001,0,-35.6739206493514
"27","55R",2018,"D","O-RT","55","organic","no till","control",3.1,2.4,120,288.28,178,147,146,146,167.674509,175,-1,21.674509,7.325491,-41.5900050032439,-7.14414990177366
"28","57D",2018,"D","O-IT","57","organic","tillage","drought",3.5,2.9,131,267.8,173,191,-1373.669881,145,174.8123541,178,-1564.669881,1548.4822351,3.18764590000001,-20.747392442965,-16.1009644399407
"29","57R",2018,"D","O-IT","57","organic","tillage","control",4.5,3,163,304.64,222,191,-240.3125559,145,173.4776833,177,-431.3125559,413.7902392,3.5223167,5.83819411015,-49.911716406795
"30","64R",2018,"D","C-NT","64","conventional","no till","control",3,2.9,114,274.24,182,147,155.439385,159,170.2849713,177,8.43938499999999,14.8455863,6.7150287,59.18325649927,-18.8730697962345
