"","subplot","year_crop","block","cropping","plot","organic","till","grain","straw","Nupt_tot","TKW","crop_density","sos","SD","pop","DD","eos","greenup","stable","browndown","los","treatment","slope.greenup","slope.browndown"
"1","02D","2019wheat","A","O-RT","02","O","NT",4.5,5.7,117,42.22,182,114,125.9626492,135,142.3488739,152,11.9626492,16.3862247,9.6511261,38,"drought",11.5919439648375,-36.3705456833009
"2","02R","2019wheat","A","O-RT","02","O","NT",4,5.1,89,39.38,160,115,126.7778668,134,140.7446597,153,11.7778668,13.9667929,12.2553403,38,"control",20.7919023298543,-32.9049667094174
"3","08D","2019wheat","A","C-IT","08","C","IT",4.5,5.3,124,41.98,205,104,113.8880741,126,138.3947534,149,9.8880741,24.5066793,10.6052466,45,"drought",22.7957634587759,-20.9576543273617
"4","12D","2019wheat","A","C-NT","12","C","NT",4.5,6.1,129,33.6,240,105,112.9382748,130,144.3418526,152,7.9382748,31.4035778,7.65814739999999,47,"drought",33.1059564584751,-11.4412571121112
"5","12R","2019wheat","A","C-NT","12","C","NT",5.5,7.6,202,38.72,255,111,126.9829298,136,142.3961647,149,15.9829298,15.4132349,6.60383529999999,38,"control",5.64430394254631,-18.1454261594298
"6","13R","2019wheat","A","O-IT","13","O","IT",4.1,4.5,101,41.76,170,114,126.3579146,134,141.3597277,156,12.3579146,15.0018131,14.6402723,42,"control",23.6616726018391,-31.9099563143652
"7","19D","2019wheat","B","C-NT","19","C","NT",5.2,6.7,153,35.48,276,106,119.9760729,129,137.7933891,149,13.9760729,17.8173162,11.2066109,43,"drought",15.4571238347429,-14.518274404649
"8","19R","2019wheat","B","C-NT","19","C","NT",5.6,7.7,207,35.72,292,108,120.9060817,129,136.8178758,146,12.9060817,15.9117941,9.1821242,38,"control",12.2611292101824,-0.178504509253245
"9","24D","2019wheat","B","O-IT","24","O","IT",3.9,4.5,80,42.02,166,111,120.1936902,132,143.602349,151,9.19369020000001,23.4086588,7.397651,40,"drought",25.97271243809,-19.3270934803554
"10","24R","2019wheat","B","O-IT","24","O","IT",5.6,6.7,120,40.14,220,106,119.7822814,129,136.7710977,154,13.7822814,16.9888163,17.2289023,48,"control",25.7477730714078,-15.945269090387
"11","25D","2019wheat","B","O-RT","25","O","NT",3.5,4.1,103,43.34,166,111,122.1059133,135,145.2673057,153,11.1059133,23.1613924,7.73269429999999,42,"drought",28.391227191379,-45.7593777896098
"12","25R","2019wheat","B","O-RT","25","O","NT",4,5.4,87,43,156,110,124.1319957,133,140.5060212,157,14.1319957,16.3740255,16.4939788,47,"control",18.688716515805,-32.2570970465693
"13","32D","2019wheat","B","C-IT","32","C","IT",6,7.1,192,42.96,254,109,121.9864883,129,135.8645048,148,12.9864883,13.8780165,12.1354952,39,"drought",16.1230369791962,-18.294417058079
"14","32R","2019wheat","B","C-IT","32","C","IT",7.1,9,224,38.16,291,101,105.5401026,121,142.978996,153,4.5401026,37.4388934,10.021004,52,"control",-0.433917714473968,-3.98807706715189
"15","36D","2019wheat","C","O-IT","36","O","IT",4.4,5.2,103,41.16,187,110,118.8977431,130,141.6424753,153,8.8977431,22.7447322,11.3575247,43,"drought",27.6841527459457,-35.6996394461225
"16","36R","2019wheat","C","O-IT","36","O","IT",5.1,6.9,131,38.54,214,115,125.4402815,134,143.0384971,153,10.4402815,17.5982156,9.9615029,38,"control",11.418440997568,-13.5560864386319
"17","39D","2019wheat","C","C-NT","39","C","NT",5.9,6.5,192,38.64,224,107,116.7788933,130,139.3580539,146,9.77889329999999,22.5791606,6.64194610000001,39,"drought",12.225064690054,-38.9290166764898
"18","39R","2019wheat","C","C-NT","39","C","NT",7.1,9.3,267,35.46,295,104,114.9825601,131,142.3921552,150,10.9825601,27.4095951,7.60784480000001,46,"control",13.5548216334319,-24.4913416192161
"19","42D","2019wheat","C","C-IT","42","C","IT",5.6,6.7,201,41.7,214,103,116.7996849,126,134.8053146,146,13.7996849,18.0056297,11.1946854,43,"drought",18.2446567249572,-8.70464295475817
"20","42R","2019wheat","C","C-IT","42","C","IT",6.4,7.9,226,36.98,260,106,110.8675472,126,142.705365,150,4.8675472,31.8378178,7.294635,44,"control",44.3908680270339,-2.67336307705564
"21","45D","2019wheat","C","O-RT","45","O","NT",4.8,5.2,127,43.52,181,114,125.3436835,136,143.3167005,150,11.3436835,17.973017,6.6832995,36,"drought",6.57459595895458,-6.68897134473831
"22","45R","2019wheat","C","O-RT","45","O","NT",5.8,7.2,153,39.8,220,111,121.7317317,130,136.2557986,153,10.7317317,14.5240669,16.7442014,42,"control",26.6208731279009,-13.5401524537364
"23","50D","2019wheat","D","C-IT","50","C","IT",5.5,6.8,185,44.1,236,105,116.0072426,124,133.0757113,148,11.0072426,17.0684687,14.9242887,43,"drought",26.1168817721118,-9.40221818688189
"24","50R","2019wheat","D","C-IT","50","C","IT",6.7,7.8,246,39.18,267,103,117.0477683,125,133.0757315,147,14.0477683,16.0279632,13.9242685,44,"control",12.6982316357793,-9.41952350972068
"25","55D","2019wheat","D","O-RT","55","O","NT",3.9,4.3,89,43.66,160,109,115.9728674,132,145.6443267,152,6.9728674,29.6714593,6.35567330000001,43,"drought",30.9819958155372,-34.4345728400914
"26","55R","2019wheat","D","O-RT","55","O","NT",4.6,5.2,104,42,177,123,133.5725658,138,144.3754405,152,10.5725658,10.8028747,7.6245595,29,"control",-0.174096515670882,-30.4313769162073
"27","57D","2019wheat","D","O-IT","57","O","IT",5.4,6.2,145,43.14,214,106,117.4379662,129,139.7318047,149,11.4379662,22.2938385,9.2681953,43,"drought",38.4841998002754,-47.410622077332
"28","57R","2019wheat","D","O-IT","57","O","IT",6.6,8.1,197,40.52,247,106,117.6111312,125,131.9260271,147,11.6111312,14.3148959,15.0739729,41,"control",33.4937130546791,-20.1148698285713
"29","64D","2019wheat","D","C-NT","64","C","NT",5.4,6.2,173,38,236,111,121.6453427,128,135.8192638,146,10.6453427,14.1739211,10.1807362,35,"drought",15.3294311362337,-9.93308174108188
"30","64R","2019wheat","D","C-NT","64","C","NT",6.4,8.2,226,39.26,271,108,113.7567882,131,144.2641144,150,5.7567882,30.5073262,5.73588559999999,42,"control",17.2734533216084,-14.3987944294747
